"Woonplaats";"WoonplaatsCode";"Gemeente";"GemeenteCode";"Provincie";"ProvincieCode";"Landsdeel";"LandsdeelCode"
"Elsendorp";"WP2095";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Elshout";"WP3590";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Elsloo";"WP1914";"Stein";"GM0971";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Elsloo";"WP1755";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Elspeet";"WP2983";"Nunspeet";"GM0302";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Elst";"WP1864";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Elst Ut";"WP1400";"Rhenen";"GM0340";"Utrecht";"PV26";"West-Nederland";"LD03"
"Emmeloord";"WP1271";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Emmen";"WP1988";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Emmer-Compascuum";"WP1989";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Empe";"WP1109";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Emst";"WP1346";"Epe";"GM0232";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Engwierum";"WP3393";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Enkhuizen";"WP2754";"Enkhuizen";"GM0388";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Ens";"WP1276";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Enschede";"WP1145";"Enschede";"GM0153";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Enspijk";"WP3216";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Enter";"WP1088";"Wierden";"GM0189";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Enumatil";"WP2340";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Epe";"WP1344";"Epe";"GM0232";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Epen";"WP1232";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Eppenhuizen";"WP3474";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Epse";"WP1337";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Erica";"WP1990";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Erichem";"WP3375";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Erlecom";"WP2874";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Erm";"WP2153";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ermelo";"WP2573";"Ermelo";"GM0233";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Erp";"WP2826";"Meierijstad";"GM1948";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Esbeek";"WP1311";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Esch";"WP1426";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Escharen";"WP3195";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Espel";"WP1280";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Est";"WP3359";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Etten";"WP1581";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Etten-Leur";"WP1010";"Etten-Leur";"GM0777";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Europoort Rotterdam";"WP3081";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Eursinge";"WP3011";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Eursinge";"WP3165";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Everdingen";"WP2840";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Evertsoord";"WP1517";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ewijk";"WP2752";"Beuningen";"GM0209";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"1e Exloërmond";"WP1779";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"2e Exloërmond";"WP1780";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Exloërveen";"WP1794";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Exloo";"WP1795";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Exmorra";"WP2307";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Eygelshoven";"WP2650";"Kerkrade";"GM0928";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Eys";"WP1234";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Ezinge";"WP2467";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"De Falom";"WP3267";"Dantumadiel";"GM1891";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Farmsum";"WP3235";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Feanwâlden";"WP3271";"Dantumadiel";"GM1891";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Feerwerd";"WP2468";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Feinsum";"WP3226";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ferwert";"WP3201";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ferwoude";"WP2308";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Fijnaart";"WP1321";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Finsterwolde";"WP1419";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Firdgum";"WP1378";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Fleringen";"WP1284";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Fluitenberg";"WP1812";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Fochteloo";"WP1756";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Follega";"WP2244";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Folsgare";"WP2402";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Formerum";"WP2617";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Foudgum";"WP3394";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Foxhol";"WP1017";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Foxwolde";"WP1636";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Franeker";"WP1366";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Frederiksoord";"WP3111";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Friens";"WP2527";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Frieschepalen";"WP3345";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Froombosch";"WP1348";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Gaanderen";"WP3247";"Doetinchem";"GM0222";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gaast";"WP2309";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gaastmeer";"WP2403";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Galder";"WP3434";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gameren";"WP2631";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gapinge";"WP2777";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Garderen";"WP1057";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Garmerwolde";"WP1831";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Garminge";"WP3012";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Garnwerd";"WP2469";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Garrelsweer";"WP3445";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Garsthuizen";"WP3446";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Garyp";"WP2455";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gassel";"WP3196";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gasselte";"WP1162";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Gasselternijveen";"WP1163";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Gasselternijveenschemond";"WP1164";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Gastel";"WP1570";"Cranendonck";"GM1706";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gasteren";"WP1165";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Gauw";"WP2404";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Geelbroek";"WP1166";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Geerdijk";"WP3322";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Geersdijk";"WP3193";"Noord-Beveland";"GM1695";"Zeeland";"PV29";"West-Nederland";"LD03"
"Geertruidenberg";"WP1751";"Geertruidenberg";"GM0779";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Geervliet";"WP1386";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gees";"WP2154";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Geesbrug";"WP2155";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Geesteren";"WP1655";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Geesteren";"WP1285";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Geeuwenbrug";"WP3112";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Geffen";"WP3610";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Geijsteren";"WP1857";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Geldermalsen";"WP3529";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gelderswoude";"WP2645";"Zoeterwoude";"GM0638";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Geldrop";"WP1126";"Geldrop-Mierlo";"GM1771";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Geleen";"WP3513";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gellicum";"WP3214";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gelselaar";"WP1654";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gemert";"WP2089";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gemonde";"WP2059";"Sint-Michielsgestel";"GM0845";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Genderen";"WP1954";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gendringen";"WP1585";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gendt";"WP3132";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Genemuiden";"WP2198";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Gennep";"WP2482";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gerkesklooster";"WP3177";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gersloot";"WP2185";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Geulle";"WP1462";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Giesbeek";"WP1300";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Giessen";"WP3302";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Giessenburg";"WP1433";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gieten";"WP1167";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Gieterveen";"WP1168";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Giethmen";"WP2551";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Giethoorn";"WP2700";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Gilze";"WP2067";"GilzeenRijen";"GM0784";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ginnum";"WP3202";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Glane";"WP1712";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Glimmen";"WP1267";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"De Glind";"WP1061";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Godlinze";"WP3236";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Goedereede";"WP2931";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goënga";"WP2405";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goëngahuizen";"WP3281";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goes";"WP1824";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"Goingarijp";"WP2489";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goirle";"WP2880";"Goirle";"GM0785";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Goor";"WP1442";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"De Goorn";"WP1185";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Gorinchem";"WP2299";"Gorinchem";"GM0512";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gorredijk";"WP3346";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gorssel";"WP1338";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gouda";"WP1005";"Gouda";"GM0513";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gouderak";"WP2374";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goudriaan";"WP3627";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goudswaard";"WP2886";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goutum";"WP3616";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"'t Goy";"WP2054";"Houten";"GM0321";"Utrecht";"PV26";"West-Nederland";"LD03"
"Graauw";"WP3094";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Grafhorst";"WP2896";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Graft";"WP1903";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Gramsbergen";"WP1549";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Grashoek";"WP3440";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grathem";"WP2943";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grave";"WP3197";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'s-Graveland";"WP3000";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"'s-Gravendeel";"WP2380";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s-Gravenhage";"WP1245";"'s-Gravenhage";"GM0518";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s Gravenmoer";"WP2800";"Dongen";"GM0766";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'s-Gravenpolder";"WP1263";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Gravenzande";"WP2662";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Greonterp";"WP2406";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Grevenbicht";"WP2812";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Griendtsveen";"WP1029";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grijpskerk";"WP2118";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Grijpskerke";"WP2778";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Groede";"WP2967";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Groenekan";"WP2937";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Groeningen";"WP1216";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Groenlo";"WP2224";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groesbeek";"WP2291";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groessen";"WP2097";"Duiven";"GM0226";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groet";"WP3044";"Bergen(NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"De Groeve";"WP2924";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Grolloo";"WP1169";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Groningen";"WP1070";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Gronsveld";"WP1701";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Groot-Ammers";"WP1806";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Grootebroek";"WP1103";"StedeBroec";"GM0532";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Grootegast";"WP2175";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Grootschermer";"WP1887";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Grou";"WP3602";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Grubbenvorst";"WP1030";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gulpen";"WP1225";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Guttecoven";"WP2813";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gytsjerk";"WP2444";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haaften";"WP3360";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haaksbergen";"WP2347";"Haaksbergen";"GM0158";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haalderen";"WP3136";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'t Haantje";"WP2164";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Haaren";"WP1427";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haarle";"WP1286";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haarle";"WP1040";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haarlem";"WP2907";"Haarlem";"GM0392";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Haarlemmerliede";"WP2641";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Haarlo";"WP1660";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haarsteeg";"WP3500";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haarzuilens";"WP3298";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Haastrecht";"WP2387";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Haelen";"WP2944";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hagestein";"WP3625";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Haghorst";"WP1310";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haler";"WP2945";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Halfweg";"WP2643";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hall";"WP1113";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Halle";"WP3575";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hallum";"WP3203";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Halsteren";"WP1938";"BergenopZoom";"GM0748";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Den Ham";"WP3321";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Den Ham";"WP2116";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Handel";"WP2092";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hank";"WP2215";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hansweert";"WP3461";"Reimerswaal";"GM0703";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hantum";"WP3395";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hantumeruitburen";"WP3396";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hantumhuizen";"WP3397";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hapert";"WP1065";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haps";"WP1451";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Harbrinkhoek";"WP1287";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'t Harde";"WP1845";"Elburg";"GM0230";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hardenberg";"WP3608";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Harderwijk";"WP3222";"Harderwijk";"GM0243";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hardinxveld-Giessendam";"WP3031";"Hardinxveld-Giessendam";"GM0523";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Haren";"WP3253";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haren Gn";"WP1266";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harfsen";"WP1339";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Harich";"WP1676";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haringhuizen";"WP2515";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Harkema";"WP3178";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Harkstede";"WP1349";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harkstede GN";"WP3635";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harlingen";"WP2891";"Harlingen";"GM0072";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Harmelen";"WP1072";"Woerden";"GM0632";"Utrecht";"PV26";"West-Nederland";"LD03"
"Harreveld";"WP2228";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Harskamp";"WP2768";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hartwerd";"WP2310";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haskerdijken";"WP2490";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haskerhorne";"WP2491";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hasselt";"WP2199";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hattem";"WP2882";"Hattem";"GM0244";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hattemerbroek";"WP3069";"Oldebroek";"GM0269";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haule";"WP3576";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haulerwijk";"WP3577";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hauwert";"WP3566";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
